chunk_id,strategy,text,length,start_index,end_index
28,sentence,"Subcategory: Gaming PC. Price: 60,019৳63,850৳.

Product: AMD Ryzen 5 9600X Gaming Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 63,000৳67,100৳.
",161,3732,3893
29,sentence,"Subcategory: Gaming PC. Price: 63,000৳67,100৳.

Product: AMD Ryzen 5 7500F Gaming PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 77,499৳81,899৳.
",153,3846,3999
30,sentence,"Subcategory: Gaming PC. Price: 77,499৳81,899৳.

Product: AMD Ryzen 5 7500F Gaming Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 86,999৳91,800৳.
",161,3952,4113
31,sentence,"Subcategory: Gaming PC. Price: 86,999৳91,800৳.

Product: AMD Ryzen 5 8400F Gaming Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 88,999৳94,700৳.
",161,4066,4227
32,sentence,"Subcategory: Gaming PC. Price: 88,999৳94,700৳.

Product: AMD Ryzen 5 7500F Budget Gaming PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 90,499৳95,950৳.
",160,4180,4340
33,sentence,"Subcategory: Gaming PC. Price: 90,499৳95,950৳.

Product: AMD Ryzen 7 9700X Gaming Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 134,499৳141,100৳.
",163,4293,4456
34,sentence,"Price: 134,499৳141,100৳.

Product: AMD Ryzen 7 7700X Gaming Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 149,999৳155,900৳.

Product: AMD Ryzen 7 9800X3D Gaming Desktop PC. ",190,4431,4621
35,sentence,"
Product: AMD Ryzen 7 9800X3D Gaming Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 160,099৳.

Product: AMD Ryzen 7 7700 Gaming PC. Category: RYZEN PC. Subcategory: Gaming PC. ",192,4572,4764
36,sentence,"Category: RYZEN PC. Subcategory: Gaming PC. Price: 162,600৳.

Product: AMD Ryzen 9 9950X3D Gaming PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 874,999৳884,850৳.
",171,4720,4891
37,sentence,"Price: 874,999৳884,850৳.

Product: AMD Ryzen 7 9700X Gaming PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: Up Coming.

Product: AMD Ryzen 5 2400G Desktop PC. Category: RYZEN PC. ",186,4866,5052
38,sentence,"Category: RYZEN PC. Subcategory: Gaming PC. Price: Out Of Stock.

Product: AMD Ryzen 5 8600G Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: Out Of Stock.
",170,5032,5202
39,sentence,"Subcategory: Gaming PC. Price: Out Of Stock.

Product: Lenovo IdeaCentre 3 07IRB8 Core i3 13th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 48,500৳.
",166,5157,5323
40,sentence,"Subcategory: Brand PC. Price: 48,500৳.

Product: Lenovo ThinkCentre Neo 50t Gen 4 Core i3 12th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 50,000৳.
",166,5284,5450
41,sentence,"Subcategory: Brand PC. Price: 50,000৳.

Product: Lenovo ThinkCentre Neo 50s Gen 4 Core i3 13th Gen 512GB SSD Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 51,500৳.
",176,5411,5587
42,sentence,"Subcategory: Brand PC. Price: 51,500৳.

Product: Lenovo ThinkCentre Neo 50t Gen 4 Core i3 13th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 52,500৳.
",166,5548,5714
43,sentence,"Subcategory: Brand PC. Price: 52,500৳.

Product: Lenovo IdeaCentre 3 07IRB8 Core i5 14th Gen Brand PC (Upgraded). Category: Lenovo. Subcategory: Brand PC. Price: 62,000৳.
",171,5675,5846
44,sentence,"Subcategory: Brand PC. Price: 62,000৳.

Product: Lenovo ThinkCentre Neo 50t Gen 4 Core i5 13th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 62,500৳.
",166,5807,5973
45,sentence,"Subcategory: Brand PC. Price: 62,500৳.

Product: Lenovo ThinkCentre Neo 50s Gen 4 Core i5 12th Gen 512GB SSD Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 62,500৳.
",176,5934,6110
46,sentence,"Subcategory: Brand PC. Price: 62,500৳.

Product: Lenovo ThinkCentre Neo 50t Gen 4 Core i5 13th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 65,500৳.
",166,6071,6237
47,sentence,"Subcategory: Brand PC. Price: 65,500৳.

Product: Lenovo ThinkCentre Neo 50t Gen 4 Core i5 13th Gen 512GB SSD Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 65,500৳.
",176,6198,6374
48,sentence,"Subcategory: Brand PC. Price: 65,500৳.

Product: Lenovo ThinkCentre Neo 50s SFF Core i7 12th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 71,500৳.
",164,6335,6499
49,sentence,"Subcategory: Brand PC. Price: 71,500৳.

Product: Lenovo ThinkCentre Neo 50s Core i7 12th Gen 1TB SSD Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 72,500৳.
",168,6460,6628
50,sentence,"Subcategory: Brand PC. Price: 72,500৳.

Product: Lenovo IdeaCentre 3 07IAB7 Core i7 12th Gen Desktop PC. Category: Lenovo. Subcategory: Brand PC. Price: 71,500৳73,500৳.
",169,6589,6758
51,sentence,"Subcategory: Brand PC. Price: 71,500৳73,500৳.

Product: Lenovo ThinkCentre M70s Gen 3 SFF Core i7 12th Gen Brand PC. Category: Lenovo. Subcategory: Brand PC. Price: 83,000৳.
",174,6712,6886
