chunk_id,strategy,text,length,start_index,end_index
78,token,: AMD Ryzen 5 5600G Custom Desktop PC. Category: R,50,3120,3170
79,token,ategory: RYZEN PC. Subcategory: Gaming PC. Price: ,50,3160,3210
80,token,"C. Price: 29,500৳31,700৳.

Product: AMD Ryzen 5 56",50,3200,3250
81,token,Ryzen 5 5600GT Budget Desktop PC. Category: RYZEN ,50,3240,3290
82,token,"ry: RYZEN PC. Subcategory: Gaming PC. Price: 28,70",50,3280,3330
83,token,"ice: 28,704৳31,200৳.

Product: AMD Ryzen 5 5500 Ga",50,3320,3370
84,token, 5 5500 Gaming PC. Category: RYZEN PC. Subcategory,50,3360,3410
85,token,"ubcategory: Gaming PC. Price: 44,252৳48,100৳.

Pro",50,3400,3450
86,token,"100৳.

Product: AMD Ryzen 5 7600 Desktop PC. Categ",50,3440,3490
87,token, PC. Category: RYZEN PC. Subcategory: Gaming PC. P,50,3480,3530
88,token,"ming PC. Price: 50,600৳.

Product: AMD Ryzen 7 770",50,3520,3570
89,token,yzen 7 7700 Budget Gaming Desktop PC. Category: RY,50,3560,3610
90,token,tegory: RYZEN PC. Subcategory: Gaming PC. Price: 5,50,3600,3650
91,token,". Price: 52,780৳56,149৳.

Product: AMD Ryzen 7 870",50,3640,3690
92,token,yzen 7 8700G Budget Desktop PC. Category: RYZEN PC,50,3680,3730
93,token,": RYZEN PC. Subcategory: Gaming PC. Price: 60,019৳",50,3720,3770
94,token,"e: 60,019৳63,850৳.

Product: AMD Ryzen 5 9600X Gam",50,3760,3810
95,token, 9600X Gaming Desktop PC. Category: RYZEN PC. Subc,50,3800,3850
96,token,"N PC. Subcategory: Gaming PC. Price: 63,000৳67,100",50,3840,3890
97,token,"000৳67,100৳.

Product: AMD Ryzen 5 7500F Gaming PC",50,3880,3930
98,token, Gaming PC. Category: RYZEN PC. Subcategory: Gamin,50,3920,3970
99,token,"ory: Gaming PC. Price: 77,499৳81,899৳.

Product: A",50,3960,4010
100,token,Product: AMD Ryzen 5 7500F Gaming Desktop PC. Cate,50,4000,4050
101,token,p PC. Category: RYZEN PC. Subcategory: Gaming PC. ,50,4040,4090
102,token,"aming PC. Price: 86,999৳91,800৳.

Product: AMD Ryz",50,4080,4130
103,token,t: AMD Ryzen 5 8400F Gaming Desktop PC. Category: ,50,4120,4170
104,token,Category: RYZEN PC. Subcategory: Gaming PC. Price:,50,4160,4210
105,token,"PC. Price: 88,999৳94,700৳.

Product: AMD Ryzen 5 7",50,4200,4250
106,token, Ryzen 5 7500F Budget Gaming PC. Category: RYZEN P,50,4240,4290
107,token,"y: RYZEN PC. Subcategory: Gaming PC. Price: 90,499",50,4280,4330
108,token,"ce: 90,499৳95,950৳.

Product: AMD Ryzen 7 9700X Ga",50,4320,4370
109,token,7 9700X Gaming Desktop PC. Category: RYZEN PC. Sub,50,4360,4410
110,token,"EN PC. Subcategory: Gaming PC. Price: 134,499৳141,",50,4400,4450
111,token,"4,499৳141,100৳.

Product: AMD Ryzen 7 7700X Gaming",50,4440,4490
112,token,00X Gaming Desktop PC. Category: RYZEN PC. Subcate,50,4480,4530
113,token,"C. Subcategory: Gaming PC. Price: 149,999৳155,900৳",50,4520,4570
114,token,"9৳155,900৳.

Product: AMD Ryzen 7 9800X3D Gaming D",50,4560,4610
115,token,D Gaming Desktop PC. Category: RYZEN PC. Subcatego,50,4600,4650
116,token," Subcategory: Gaming PC. Price: 160,099৳.

Product",50,4640,4690
117,token,".

Product: AMD Ryzen 7 7700 Gaming PC. Category: ",50,4680,4730
118,token,Category: RYZEN PC. Subcategory: Gaming PC. Price:,50,4720,4770
119,token,"PC. Price: 162,600৳.

Product: AMD Ryzen 9 9950X3D",50,4760,4810
120,token, 9 9950X3D Gaming PC. Category: RYZEN PC. Subcateg,50,4800,4850
121,token,". Subcategory: Gaming PC. Price: 874,999৳884,850৳.",50,4840,4890
122,token,"৳884,850৳.

Product: AMD Ryzen 7 9700X Gaming PC. ",50,4880,4930
123,token,aming PC. Category: RYZEN PC. Subcategory: Gaming ,50,4920,4970
124,token,"y: Gaming PC. Price: Up Coming.

Product: AMD Ryze",50,4960,5010
125,token,: AMD Ryzen 5 2400G Desktop PC. Category: RYZEN PC,50,5000,5050
126,token,: RYZEN PC. Subcategory: Gaming PC. Price: Out Of ,50,5040,5090
127,token,"e: Out Of Stock.

Product: AMD Ryzen 5 8600G Deskt",50,5080,5130
128,token,600G Desktop PC. Category: RYZEN PC. Subcategory: ,50,5120,5170
129,token,"category: Gaming PC. Price: Out Of Stock.

Product",50,5160,5210
130,token,".

Product: Lenovo IdeaCentre 3 07IRB8 Core i3 13t",50,5200,5250
131,token,ore i3 13th Gen Brand PC. Category: Lenovo. Subcat,50,5240,5290
132,token,"vo. Subcategory: Brand PC. Price: 48,500৳.

Produc",50,5280,5330
133,token,"৳.

Product: Lenovo ThinkCentre Neo 50t Gen 4 Core",50,5320,5370
134,token,Gen 4 Core i3 12th Gen Brand PC. Category: Lenovo.,50,5360,5410
135,token,"y: Lenovo. Subcategory: Brand PC. Price: 50,000৳.
",50,5400,5450
